Timestamp, Message
2023/04/05 09:56:07,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 1797; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 1391
2023/04/05 09:56:22,Resetting timeout to 9:56:37 AM
2023/04/05 09:56:22,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 2247; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 1797
2023/04/05 09:56:37,Resetting timeout to 9:56:52 AM
2023/04/05 09:56:37,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 2693; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 2247
2023/04/05 09:56:52,Resetting timeout to 9:57:07 AM
2023/04/05 09:56:52,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 3143; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 2693
2023/04/05 09:57:07,Resetting timeout to 9:57:22 AM
2023/04/05 09:57:07,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 3593; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 3143
2023/04/05 09:57:22,Resetting timeout to 9:57:37 AM
2023/04/05 09:57:22,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 4043; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 3593
2023/04/05 09:57:37,Resetting timeout to 9:57:52 AM
2023/04/05 09:57:37,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 4493; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 4043
2023/04/05 09:57:52,Resetting timeout to 9:58:07 AM
2023/04/05 09:57:52,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 4943; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 4493
2023/04/05 09:58:07,Resetting timeout to 9:58:22 AM
2023/04/05 09:58:07,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 5352; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 4943
2023/04/05 09:58:22,Resetting timeout to 9:58:37 AM
2023/04/05 09:58:22,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 5803; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 5352
2023/04/05 09:58:27,Opening attract...
2023/04/05 09:58:30,Closing attract...
2023/04/05 09:58:37,Resetting timeout to 9:58:52 AM
2023/04/05 09:58:37,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 6253; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 5803
2023/04/05 09:58:51,Quit application via 'Escape' key.
2023/04/05 09:58:51,Application Quit
2023/04/05 09:58:51,Releasing resources...
2023/04/05 09:58:51,OnWebCamTextureToMatHelperDisposed
2023/04/05 09:58:51,Ending parallel refined scan thread...
2023/04/05 10:03:21,Application Awake - version #2023.1.18
2023/04/05 10:03:21,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
